Country Name,Country Code,Series Name,Series Code,1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,26385800000,28161200000,30603919000,32287031000,34630430000,36922456000,39690630000,42647331000,45340835000,48187039000,54086400000,57841000000,61701800000,69208400000,71623500000,74827400000,80322313000,83914521300,87276164400,89524131600,93639316000,96385638000,98381268000,1.00352E+11,1.01565E+11,1.0245E+11,1.02446E+11,1.03144E+11,1.05035E+11,..
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.96964E+11,2.43526E+11,2.79349E+11,3.25734E+11,3.50051E+11,3.86303E+11,4.55603E+11,5.56131E+11,5.98099E+11,5.57503E+11,3.74241E+11,4.85248E+11,5.61633E+11,5.33052E+11,6.0902E+11,6.80521E+11,7.64881E+11,8.98137E+11,1.0118E+12,1.12268E+12,1.00222E+12,9.01935E+11,1.0945E+12,1.20246E+12,1.22281E+12,1.3056E+12,1.41133E+12,1.38276E+12,1.4148E+12,1.53075E+12
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20432742.11,39333572.32,44290951.93,49248810.57,72751801.05,103811958.8,108601538.5,117020381.9,100459782.6,102060129.6,113884908.4
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,40809523810,42105263158,38995454545,28998684211,25121666667,26362894737,30074440483,37662075750,37182938696,35838588170,41976002704,36183003978,37438527800,40716836998,46174557556,59867801205,76216441462,99697566668,1.23533E+11,1.75934E+11,2.13605E+11,1.72612E+11,1.66658E+11,1.84367E+11,1.71665E+11,1.91549E+11,1.99493E+11,1.77911E+11,1.87806E+11,2.11803E+11
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,..,5.065E+11,5.16814E+11,5.17963E+11,4.60291E+11,4.35084E+11,3.95077E+11,3.95531E+11,3.9172E+11,4.04927E+11,2.70953E+11,1.95906E+11,2.59708E+11,3.06603E+11,3.4511E+11,4.30348E+11,5.91017E+11,7.64017E+11,9.89931E+11,1.29971E+12,1.66084E+12,1.22264E+12,1.52492E+12,2.05166E+12,2.21026E+12,2.29713E+12,2.06366E+12,1.3684E+12,1.28473E+12,1.57752E+12
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,88256074766,95344459279,1.1763E+11,1.32223E+11,1.37088E+11,1.32968E+11,1.35175E+11,1.43343E+11,1.58662E+11,1.65964E+11,1.46775E+11,1.61717E+11,1.89515E+11,1.84137E+11,1.89606E+11,2.15808E+11,2.58742E+11,3.2846E+11,3.769E+11,4.15965E+11,5.19797E+11,4.29098E+11,5.28207E+11,6.71239E+11,7.35975E+11,7.46647E+11,7.5635E+11,6.5427E+11,6.44936E+11,6.83827E+11
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,4985153203,4913065111,5716644272,5617236033,6004885321,5678827999,3877196915,4878719133,5065830414,4672503920,5030344074,5144045360,4679604754,4877602060,5333862371,6858952880,8031344381,8707015771,9358710935,11284603071,13439023281,12814961485,12948906289,14390776644,14225310519,14851057085,15304363138,13640668374,14683747154,16374743753
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1.18332E+11,1.28903E+11,1.15553E+11,1.23943E+11,1.34545E+11,1.3431E+11,1.39752E+11,1.5546E+11,1.47608E+11,1.52586E+11,1.37774E+11,1.36632E+11,1.36362E+11,1.21601E+11,1.15748E+11,1.75257E+11,2.28937E+11,2.57671E+11,2.71811E+11,2.99034E+11,2.871E+11,2.97217E+11,3.75298E+11,4.16878E+11,3.96333E+11,3.66829E+11,3.50905E+11,3.17741E+11,2.95763E+11,3.49419E+11
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,16750000000,20948677840,24147996550,18284194680,18409364147,6540247190,12267175481,16116843146,21188704081,24861483281,26252007830,30607991862,40289556656,49259526053,42616653300,39460357731,46466728667,40742313861,45519650911,44210806366,37160332465,38299854688,41431648801
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,21273055398,21480023017,20749140606,22125435372,22689994990,20342201356,20875387068,23563576758,29697448108,34470227454,36346974008,39587732029,48114688201,55589849128,50244793832,48013606745,51290792018,46352802766,48116256926,49904928335,43072415017,44708598649,48769655479
